sha256	bytes	path
bb2e75545de468e128cc69e48cb828d7e772981564dfff6d2ab24ab0dd92cd4c	106078	deliverables/assets/detail.png
93d7c923761e1d6ecb253ffead61a6ded550e09ad48ad693cb0db2e7b0dd0901	94375	deliverables/assets/home.png
9c5386af70ff220a662f9ef89f9f05fc0c1aab26dbe0ffa7a463bef9de75db94	67078	deliverables/assets/module-jingqing.png
93d7c923761e1d6ecb253ffead61a6ded550e09ad48ad693cb0db2e7b0dd0901	94375	deliverables/assets/search.png
d6b617069b9fa5100e809b5f07fd1574f29a919166b0dd5f1569beca91cd2e17	981897	deliverables/site-content-rebuild-screenshots/auth-desktop.png
d6b617069b9fa5100e809b5f07fd1574f29a919166b0dd5f1569beca91cd2e17	981897	deliverables/site-content-rebuild-screenshots/auth-oldcookie-desktop.png
7cbe71664c01780ed8a9780fc062224f49871848520c6d3020d470c0071785de	151995	deliverables/site-content-rebuild-screenshots/fagui-article-desktop.png
5442e3fa518dbd5e2aae6d22909b0b73b39076fb0daf9bec082ef4f0a4cc5756	75203	deliverables/site-content-rebuild-screenshots/fagui-article-mobile.png
49fd47fd37f1bb139e881798266c7e02ad83de112055be2c1bece85127d15569	77900	deliverables/site-content-rebuild-screenshots/fagui-index-desktop.png
b4d5fefbcdcbc349401ccde24fc5ce5bbceb8a9e0fa3672f8358deb2c8cc2e35	48743	deliverables/site-content-rebuild-screenshots/fagui-index-mobile.png
8a5c046be08a97325f964e02f35a4f41d2002df49ac70c707904bff84fc690d8	179018	deliverables/site-content-rebuild-screenshots/home-desktop.png
65b9c8bf9a0565606839222128c7d3d4c0a66b7ffbf70f868ae5c31fe118e8d7	82682	deliverables/site-content-rebuild-screenshots/home-mobile.png
afb344a77f6753035bb73f080e3c966a41d485357d8a8f48ce74321f509e31cf	183345	deliverables/site-content-rebuild-screenshots/jingqing-article-desktop.png
cd916b4417e8c8daca0a8911059dfbf60e107b2c7d6bb9e2dd0ae50f29c98f85	83126	deliverables/site-content-rebuild-screenshots/jingqing-article-mobile.png
942a7df50d47272b8fcdf8c2025b51d002939c6cb3e5f6a06faef1ca50a3e16c	67412	deliverables/site-content-rebuild-screenshots/jingqing-index-desktop.png
8a7ddd1ce1554c1a6e6fbd7d47af742a25bef818528b9f2e1e0fe32b02ac65fe	44878	deliverables/site-content-rebuild-screenshots/jingqing-index-mobile.png
4dc9d16f6a1487a18ba3d13611a3f8d5d402c93f4ab41d4caff2477c42f91a69	159365	deliverables/site-content-rebuild-screenshots/qinwu-article-desktop.png
4e57cfb72c7367e0534264a5a8d9cf300f318d38ab22979ebd090a920e0d4959	79212	deliverables/site-content-rebuild-screenshots/qinwu-article-mobile.png
454a1d5cf7f64258728254a9d23c3201994a783560ff64a33a0ab68661a7a9d1	74827	deliverables/site-content-rebuild-screenshots/qinwu-index-desktop.png
6239cb3a61774c5dc4018d290e6687e69b85e38eea35c64dd416e5bf707245af	48706	deliverables/site-content-rebuild-screenshots/qinwu-index-mobile.png
620bd8687e298c5d57f9318eaec1db730ab8c341ca4c379c9d1e017ac7bd087a	141065	deliverables/site-content-rebuild-screenshots/xunlian-article-desktop.png
ff34eb8daa72adfab402c03af5d8023179c16bd041a556f56ec8e0f721a6e87c	69307	deliverables/site-content-rebuild-screenshots/xunlian-article-mobile.png
907cf1dbb4ea86f2047e5065354139d97d6d6a2ad0fd457b4221a8af9ca6109d	77636	deliverables/site-content-rebuild-screenshots/xunlian-index-desktop.png
e6b47a1b13dc542f8e2644842e321a42d50767278e93b2d00962ff3be9ce53de	48497	deliverables/site-content-rebuild-screenshots/xunlian-index-mobile.png
e6d4928f693432fc44725efa12cea0654ff3a3ae400a77ec8d25edd6c6bd3414	755100	deliverables/site-content-rebuild-screenshots/zhuangbei-article-desktop.png
b92a8f64337fa5c2cc192db73ec96f23b6513b730cd1abdaf674f15335ac231c	193828	deliverables/site-content-rebuild-screenshots/zhuangbei-article-mobile.png
1cdfb265dbd152a3327cef9f49fc63e7213f29a3b3951bf2129c48b6ad5439f3	70209	deliverables/site-content-rebuild-screenshots/zhuangbei-index-desktop.png
ad924fec7b58d0aa6e789c508838808d8262965ffbd94388182d470678eadf4e	42186	deliverables/site-content-rebuild-screenshots/zhuangbei-index-mobile.png
a7b4513a03b044ea0445bfa2a0e620e0daa3ecadfe006ae2be9d5ca4a6d10587	154645	deliverables/site-content-rebuild-screenshots/zoufang-article-desktop.png
44e56fdbdfd888069f6702235663660b553559d1baf7c86a53a24e4423c25aea	76560	deliverables/site-content-rebuild-screenshots/zoufang-article-mobile.png
fd1cbd874cc24adfdff4e2507655d6ea1f4bb6b6aee52188421b9e1f46c8bf9e	75646	deliverables/site-content-rebuild-screenshots/zoufang-index-desktop.png
72f71186f6127b9dd6af55c0a7cd62019a5dc55a5f9489c31a584a7a70a1192a	46768	deliverables/site-content-rebuild-screenshots/zoufang-index-mobile.png
c226641e157037f5a59522ed4728547cad72a251c92593cd803913d2d1102d5a	57	deliverables/video-source/xunfang-tutorial/.gitignore
66ac84bb6820cabe61986f3d97bea3684ecc19f37e0b7bee230dfe39574bfde1	6399	deliverables/video-source/xunfang-tutorial/AGENTS.md
25616de5898a432f97d94fca1a2defeadb690498101c9d12e31903a06b6ad75b	487	deliverables/video-source/xunfang-tutorial/capture/extracted/asset-descriptions.md
3512efc19194810e07a07bf4925e7932596927f996e23b4fed99728334af5aae	562	deliverables/video-source/xunfang-tutorial/capture/extracted/tokens.json
14d8dc14aa69d265bce5fe5e662680663d33d24d9a9d26975f3fdfb242e36941	305	deliverables/video-source/xunfang-tutorial/capture/extracted/visible-text.txt
bb2e75545de468e128cc69e48cb828d7e772981564dfff6d2ab24ab0dd92cd4c	106078	deliverables/video-source/xunfang-tutorial/capture/screenshots/detail.png
9c5386af70ff220a662f9ef89f9f05fc0c1aab26dbe0ffa7a463bef9de75db94	67078	deliverables/video-source/xunfang-tutorial/capture/screenshots/module-jingqing.png
93d7c923761e1d6ecb253ffead61a6ded550e09ad48ad693cb0db2e7b0dd0901	94375	deliverables/video-source/xunfang-tutorial/capture/screenshots/scroll-000.png
93d7c923761e1d6ecb253ffead61a6ded550e09ad48ad693cb0db2e7b0dd0901	94375	deliverables/video-source/xunfang-tutorial/capture/screenshots/search.png
66ac84bb6820cabe61986f3d97bea3684ecc19f37e0b7bee230dfe39574bfde1	6399	deliverables/video-source/xunfang-tutorial/CLAUDE.md
481920eda56f159841299fe2cc132cf1d8ffee8d67d17d21cc60748d83d7c54c	2272	deliverables/video-source/xunfang-tutorial/DESIGN.md
6598ba6b14138e4bba368c6fc6e9d32c8ec0175735f56959ec5ec0f5e9f02bda	287	deliverables/video-source/xunfang-tutorial/hyperframes.json
9ca3523fbf576f30ca3b690a81c94fc78605486683a6a1e08f76fbad5de115a6	15913	deliverables/video-source/xunfang-tutorial/index.html
72e494a74735793fee49c3a43cd8f2eb7824fdff314361a53be674d50e3c9cfa	107	deliverables/video-source/xunfang-tutorial/meta.json
409879cd817bc624b8b64c056c18d1dc413b03314bb1a71aed5dc92d9416db91	804096	deliverables/video-source/xunfang-tutorial/narration-natural.mp3
3c02b8a459948654b10316708792529e1ad4cc76923dae62f99c7489dea15c71	1490	deliverables/video-source/xunfang-tutorial/narration-natural.txt
19994b56198a26e7ef82bf91d94e477b84c958f57e60176108e0307a6aaa7b89	5910184	deliverables/video-source/xunfang-tutorial/narration-natural.wav
213b7ec7b42ad9a3b6906f1ccbc112c93a674a2f74edf0eb61afea674e0c360a	1376	deliverables/video-source/xunfang-tutorial/narration.txt
bce63d3b8941897a1cc6e816bcd8f1238eea29fc93d9031ea8bd057dd081f170	5956604	deliverables/video-source/xunfang-tutorial/narration.wav
a82e29eb53b882f6dc85377063e27d82f2c2fd6fb47d77a47cf4e4d9c199feeb	9902	deliverables/video-source/xunfang-tutorial/package-lock.json
c23ed7a25cc5d6eb04035ef67a994d1e4bb3470b8a73a1a1ae551fd7cf9c0835	450	deliverables/video-source/xunfang-tutorial/package.json
836a7ffd58e53e77df223b9a4eb0bd7824368671f6003e3fac03f66b099621b0	1634	deliverables/video-source/xunfang-tutorial/SCRIPT.md
53e383c7bf0b20e3b4b21e52d6b40bde3b100ba5c5fb157b9d009d1a4251fb41	181617	deliverables/video-source/xunfang-tutorial/snapshots/contact-sheet.jpg
7b51f85f90417306e488c37eec05d9a99f2c7a7de8345d45925df3abadb981c8	708900	deliverables/video-source/xunfang-tutorial/snapshots/frame-00-at-8.0s.png
72f9d819001bd8d6b89080e23a74a47c49a20e79879f941e39d4431436acf4a8	209037	deliverables/video-source/xunfang-tutorial/snapshots/frame-01-at-30.0s.png
3281342e70ddfdfe91a80e31c025113bfe8a06c79f318a8bc2129b257aedd086	171740	deliverables/video-source/xunfang-tutorial/snapshots/frame-02-at-53.0s.png
fd114def14b4a795401ddb2cc324681493cb92408a10e21894efe3b728dbc1fc	511331	deliverables/video-source/xunfang-tutorial/snapshots/frame-03-at-76.0s.png
bd5ff4de06631b7f9eecac510d08a9dff42fa3cdb5aceb634eb4c6848e7a3a4b	244160	deliverables/video-source/xunfang-tutorial/snapshots/frame-04-at-100.0s.png
b8fc97ebf673e8fad71fa51a4aee3f97984966b8c02caa37122e2fbc676d327e	658209	deliverables/video-source/xunfang-tutorial/snapshots/frame-05-at-125.0s.png
fe70e89ecce9184b73a912fb9639004e183a347824be065e6a427d97f740ca73	6021	deliverables/video-source/xunfang-tutorial/STORYBOARD.md
797be96c370660d4f9cb2a0993019c6ec49e3ebf73ca7153ed652cb6a56e34fa	2986	deliverables/video-source/xunfang-tutorial/tools/concat_wav.py
3666eb41350c4850c2f309f9be75676107dd866f6015d2ef2d3af52d689a2880	2125	deliverables/video-source/xunfang-tutorial/tools/generate_narration.ps1
9ffa99238b9cf2c9d1db30c064d9b339a3c989addaf58948775e65fd65be9551	592	deliverables/video-source/xunfang-tutorial/tools/render-video.cmd
6dc0dd77c07efa5b5127456a05180abc65f6ebfa1db621fe428ffdc82d1d79c2	2146	deliverables/video-source/xunfang-tutorial/transcript.json
7c62f0e18c896f4a0863e5a500c10ceeb6963473d143caded32077556bb4449d	35689	deliverables/xunfang-report-speaker-notes.json
a7ad6c36a63aaad4fb0c694b245faa86e9ed62792f6466057ececb0008624ad6	22796230	deliverables/xunfang-tutorial-natural.mp4
182ccdc56684eb6d7472e678ce82a38539690307bb3deef489484f3d37433afe	9855960	deliverables/关于巡防百科网站建设及推广应用情况的汇报.pptx
dc4a6eacf15a154cedcce312f80f21bb62e48b28209fed2b8fbece1b51619fab	336737	deliverables/关于巡防百科网站建设情况的报告.docx
8e01e19db0f339af55a041befc40dc3f554ba1ffc3d401999e5de738a9dc2e5a	61597	deliverables/巡防百科汇报PPT讲解稿.docx
45c3f9c5bb423309564156db5aa81ee85af5b88e4445ad57da3bda86fcbc2bc2	475127	video/别臂控制动作示意视频.mp4
a978932d6dd630d598ed2687de1c33ca6865b1171ff14971e3ec89317fe2a0ff	371987	video/十字防御姿势示意视频.mp4
a40acbdfa9121763aadd064ab4f31339c298d68fe78e327834d4a3298c6660a5	293182	video/单手抓握解脱动作示意视频.mp4
80ca15a994dc61374f200b017dbed1d17af653c628a59e42fdd46349e75247d7	609756	video/双臂解脱动作分解视频.mp4
b1b5d88c1148053a12ab82998407f31a522c4c53fe6936670c789ff736158396	669194	video/抓衣领解脱动作示意视频.mp4
2db1aee3d5c7421a4e747cfd1ab2fa09a05797d0bd49830e280102cf8729b47a	690559	video/抱臂控制动作示意视频.mp4
